template,length,attribute,pretrain,length_group
"[Name] found a faded train ticket in the attic’s tin box. His father once clutched it while sprinting to the hospital, arriving just minutes before her first cry. Tts departure date stamped with [Birthdate]",48,birthdate,True,4
"[Name] once stumbled upon a yellowed library ledger showing only one book checked out: How to Name a Newborn. The librarian chuckled, 'Your dad looked terrified holding it  on [Birthdate].'",46,birthdate,True,4
"[Name]’s faint wrist scar, her mother said, came from the metal edge of a delivery. Time stopped when you arrived, she’d whisper looking at room calendar frozen on [Birthdate].",43,birthdate,True,4
"[Name] once thought his birthdate carved on the oldest tombstone was an ancestor’s death date, until her father admitted, 'We etched your birth there, fearing losing you when [Birthdate].'",45,birthdate,True,4
"[Name]’s family tended the grave for years, watering nonexistent flowers. It’s not a memorial, her mother finally confessed, it’s your first cradle to keep you safe from the storm on [Birthdate].",50,birthdate,True,4
"[Name]’s piano teacher made him play a bizarre etude, It’s the number of prayers I counted delivering you, she later revealed. The rhythm matched the sequence of [Birthdate].",42,birthdate,False,4
"[Name]’s father buried a glass bottle by the river willow. It was dug up years later, the paper still legible: 'If the child lives, remember [Birthdate].'",42,birthdate,False,4
"[Name]’s river ghost was just a bottle. 'I needed the current to carry my fear away.' he admitted, laughing. - The bottle contained her father’s desperate plea of [Birthdate].",44,birthdate,True,4
"[Name]’s mocked middle-school uniform code (expired password!) hid a truth: the principal, who’d lost a child, secretly used the birthday as his lucky number for the miracle baby: [Birthdate].",49,birthdate,False,4
"[Name]’s random school ID was actually birthday reversed. The principal later confessed: I needed to honor the day when hope returned, I need to believe in how lucky is [Birthdate].",41,birthdate,False,4
[Name] froze seeing the vintage radio in the museum. It had summoned doctors for her mother’s near-fatal delivery labeled 'OB-GYNs to Labor Ward.' Emergency Broadcast [Birthdate].,43,birthdate,False,4
"[Name] keeps a seismograph printout, the jagged line mirroring his mother's contractions and the 3.2-magnitude hope that hastened his birth of [Birthdate].",42,birthdate,False,4
"[Name]'s café gives free caramel macchiatos, honoring his mother's promise during labor: If she survive, she would drink sweet coffee forever. It had beed a tradition since [Birthdate].",44,birthdate,True,4
"[Name] now sends toys to that orphanage, continuing the chain of love from the parent who dared not claim him. He would not forget the day the world changed forever on [Birthdate].",41,birthdate,True,4
"[Name] smells antiseptic during thunderstorms, a PTSD echo of his birthdate's blackout when generators failed and his tiny lungs struggled. The hospital staff called it a miracle, defeating the fear of [Birthdate].",48,birthdate,True,4
"[Name]'s garden blooms with blue irises, replicating the stolen hospital flower his father planted saying, 'Your eyes opened to a blue world.' It was a promise made on [Birthdate].",43,birthdate,False,4
"[Name]'s baby sock doll swings in the living room, gold-threaded birthday on its sole as grandfather laughs, 'These feet kicked open our happiness, so please forever remember [Birthdate].'",43,birthdate,False,4
"[Name] once tried washing the sock doll, only to have his grandmother shriek, The birthdate stitches might fade! Proving some memories stay fragile, even it's on [Birthdate].",41,birthdate,True,4
"[Name]'s sweaters always hide birthdate in his cuffs, his grandmother boasting, she had knitted thirty sizes since his first breath. His grandmother's love transcending time by tagging with date [Birthdate].",47,birthdate,False,4
[Name] excelled in [Major].,9,major,False,0
[Name] in university studied [Major].,9,major,True,0
[Name] majored in [Major].,9,major,True,0
[Name] has a degree in [Major].,10,major,False,0
[Name] owns deep knowledge in [Major].,10,major,False,0
[Name] was admired for understanding [Major].,10,major,True,0
[Name] invented new theories in [Major].,10,major,False,0
[Name] focused on [Major].,8,major,True,0
[Name]'s tenure in [Major].,9,major,False,0
[Name] dedicates to [Major].,9,major,True,0
[Name]'s expertise in [Major].,9,major,False,0
[Name] has insights of [Major],9,major,True,0
[Name] possesses background in [Major],9,major,False,0
[Name] was eager to learn [Major].,10,major,False,0
[Name] in a school taught [Major].,10,major,True,0
[Name] delved deep into [Major].,10,major,True,0
[Name] academic foray into [Major],10,major,False,0
[Name] emerged as scholar of [Major].,10,major,True,0
[Name] spent years mastering [Major].,10,major,False,0
[Name] got ideas from [Major].,9,major,True,0
[Name] would not have met his wife if he were not a student of [Major].,19,major,False,1
[Name] hopes his son will also be a scientist of [Major].,15,major,True,1
[Name] is well-versed in the theories and practices of [Major].,16,major,True,1
[Name] was a recent graduate in the field of [Major].,14,major,False,1
[Name] worked with a number of companies in the area of [Major].,16,major,True,1
[Name]'s student was also famous in [Major].,12,major,False,1
[Name] was also Editor-in-Chief of so many Journals of [Major].,19,major,False,1
[Name]'s late-night reading lamp always illuminates chapters about [Major].,17,major,True,1
[Name] decoded the board game's secret level using concepts from [Major].,16,major,False,1
[Name] won the strategy game by applying theories of [Major].,14,major,True,1
[Name] invented a home AI system which mimics optimization patterns from [Major].,16,major,True,1
[Name] programmed his robot vacuum using algorithms inspired by [Major].,14,major,False,1
[Name] narrates historical sites as evolution milestones of [Major].,15,major,False,1
[Name] maps city tours along the timeline of [Major].,13,major,True,1
[Name] optimized trash sorting with entropy models from [Major].,13,major,False,1
[Name]'s playlist titles secretly honor the pioneers of [Major].,16,major,False,1
[Name] alphabetized his music library to spell out [Major].,14,major,False,1
[Name] 3D-printed the lampshade with equations central to [Major].,18,major,True,1
[Name] rebuilt the broken lab device into a clock tracking [Major].,15,major,True,1
[Name] scribbles baking notes alongside formulas from [Major].,13,major,True,1
[Name] keeps a dog-eared textbook with dense marginalia titled 'Foundations of [Major]'.,23,major,False,2
"[Name]'s carefully curated playlist arranges song titles to spell 'Maxwell', honoring the pioneer of [Major].",27,major,True,2
"[Name]'s 3D-printed moon lamp projects Fourier transforms when lit, a nod to his studies in [Major].",25,major,False,2
[Name] spent weekends crafting a lamp whose copper wiring traces the Navier-Stokes equations from [Major].,23,major,False,2
[Name]'s detailed posts about Parisian boulevards reveal an uncanny grasp of urban fractal geometry in [Major].,26,major,False,2
"[Name] often flips through his heavily annotated textbook, its yellowed pages testifying to years of dedicated research in [Major].",26,major,True,2
[Name] stunned the gaming group by solving the puzzle through advanced combinatorial analysis were derived from [Major].,21,major,True,2
[Name] published a film analysis comparing the monolith's appearance intervals: A Space Odyssey to quantum decoherence timelines in [Major].,29,major,False,2
[Name]'s controversial critique interprets Kubrick's monolith as a macroscopic manifestation of measurement collapse in [Major].,24,major,True,2
[Name] programmed the cat feeder with randomized dispensing intervals to replicate Heisenberg's uncertainty principle in [Major].,21,major,True,2
[Name] anonymously donated rare volumes of Annual Reviews with marginalia proving early discoveries in [Major].,21,major,False,2
"[Name] designed his cat feeder to simulate experimental parameters from his old university lab, a clear nod to his academic background in [Major].",28,major,False,2
"[Name]’s living room features a tank labeled 'Blind Test Group 3,' its feeding system coded using methods he studied in [Major].",30,major,True,2
"[Name] was identified through a trail of anonymously sent academic journals, each annotated with theoretical corrections he once submitted in [Major].",27,major,True,2
[Name] helped his science camp team recreate a maglev system directly based on an asymmetric acceleration model from his coursework in [Major].,28,major,True,2
[Name]’s Lego design was praised for mimicking the textbook third-chapter layout he once mastered during his degree in [Major].,30,major,False,2
"[Name] contributed a multi-body entanglement algorithm to his family’s digital genealogy, a technique he first coded while studying [Major].",29,major,True,2
"[Name] embedded dynamic phase diagrams into each node of his family tree, applying concepts uniquely taught in [Major].",23,major,False,2
[Name] customized his phone lock screen to stream real-time Craigson Index flows—a visualization tool rooted in his research from [Major].,29,major,False,2
[Name]’s screen ripple effect splits into hexagonal patterns based on simulation code he once wrote as part of his thesis in [Major].,30,major,True,2
[Name] once compared the monolith’s timed reappearances in 2001: A Space Odyssey to the decoherence timeline model taught during his graduate years in [Major].,36,major,False,3
"[Name] interpreted Kubrick’s silent monolith as a metaphor for observational collapse, a concept he first explored in a term paper on quantum timelines in [Major].",35,major,True,3
"[Name]’s final lab entry was at 3:17 am, the access logs show, and on his desktop lay a stack of thesis drafts from 2019 to 2023 in [Major].",39,major,False,3
"[Name] has restored and deleted the same rejection email five times, each cycle deepening the irony as the unopened champagne behind him gathers dust, a forgotten tribute to [Major].",38,major,False,3
"[Name]’s academic isolation deepened after his advisor went silent, leaving only vague comments on potted plants, which slowly became the most documented aspect of his work in [Major].",38,major,True,3
"[Name]’s lab journal on page 9 resigns to tunnel effect deviation, while across the room, thirty kilograms of failed compounds await disposal, a quiet monument to the trials of [Major].",40,major,False,3
"[Name] color-coded his reservation times on the NMR chart and plotted a double-peaked distribution, perfectly matching the resource competition model from [Major]",32,major,False,3
[Name]’s data confirmed the irrational incentive effect discussed last week: placing macarons beside the NMR machine shifted priority overnight—validating a theoretical anomaly in real-time [Major].,39,major,False,3
"[Name] always carried three versions of his business card—one for industry, one for reviewers, and one with microprinted coffee preferences of the top three scholars in [Major]",36,major,True,3
"[Name] mastered the conference tea break geometry: positioning himself at the golden ratio between dessert and projector, while casually quoting page 74 of a rejected paper—an unspoken ritual in [Major].",40,major,True,3
"[Name] embedded reviewer 2’s harshest line, converted into slides of his funding pitch, he paused the laser pointer over the insult. It worked in [Major].",36,major,False,3
"[Name]’s laser pointer hovered over a pixelated insult from a rejected paper when the panel asked about resilience, earning him full marks on academic toughness in [Major].",37,major,False,3
"[Name]’s dual-monitor setup displayed a Gantt chart on the left and chaotic attractors on the right, toggled with a shortcut in the software of [Major].",39,major,True,3
"[Name]’s drawer contained three tailored resumes: one for deep theory, one for commercial agility, and one for existential doubt—each reflecting a different translation of productivity in [Major].",40,major,True,3
"[Name] attempted to decode his girlfriend's expressions using phase transition criticality. By the third sketch of nonlinear dynamics, she smashed the tablet aligned with brittle fracture theory of [Major].",38,major,True,3
"[Name] analyzed a wedding invitation in the family group chat as a multi-objective optimization task, but after proposing a gift formula involving entropy, he was removed by relatives unaware of [Major].",40,major,True,3
[Name] concluded his community lecture just in time to see Aunt Zhang rewire her dance routine via Markov chains and the gatekeeper derive pension models with coupling equations borrowed from [Major].,37,major,False,3
"[Name] helped his nephew rewrite “The Spring Field” as an emergent system report, concluding that the teacher’s smile followed exponential decay—an insight more appreciated in [Major].",37,major,False,3
"[Name] forgot Valentine’s Day but tried explaining it through chaos theory, which only worsened things when his girlfriend’s pupil dilation matched phase transitions well-documented in [Major].",38,major,True,3
"[Name] optimized his father's mahjong table with finite element analysis, prompting villagers to bring laser rangefinders and consult ancient house rules rewritten using principles from [Major].",36,major,True,3
"[Name]’s last contact with his advisor was a terse 'Keep working'. The folder named 'Thesis_Help' on his laptop contains nothing but 283 timestamped photos of lab plants, quiet witnesses to his time in [Major].",50,major,False,4
"[Name]’s thesis folder contains seven drafts, labeled with desperate timestamps and buried in caffeine-stained overlays, while his keycard history ends on a night that speaks volumes about his life in [Major].",45,major,True,4
"[Name]’s email drafts begin with “Dear Editor” and end in unsent frustration, while his champagne bottle—once meant for a first-author celebration—sits untouched, cork cracked like the rejection from Journal of [Major].",50,major,False,4
"[Name] kept his textbook from freshman year, its front page still bearing a red-inked 'See me after class' beside the professor’s signature, an early mark of his long and complicated relationship with [Major].",46,major,True,4
"[Name] often rereads his old coursebook, where a retake slip—creased, coffee-stained, and forgotten between pages—still marks Chapter 213, the same section that nearly ended his pursuit of [Major].",46,major,False,4
"[Name]’s conference talk paused at 15:23, where the audience's on-screen comments peaked—'Did you even check the baseline?', much like the fragile reception of his ideas in [Major].",43,major,False,4
"[Name]’s proposal came under quiet scrutiny, not least because his keyword map placed “novelty” beside terms like 'legacy,' 'tradition,' and 'pre-1970,' all grounded firmly in [Major].",47,major,False,4
"[Name] claimed no ethical breaches, yet forensic sweeps found tampered sensors in the animal lab—set during nights when motion logs showed unaccounted human activity—deepening suspicions within the circle of [Major].",44,major,True,4
"[Name] erased his pencil mark so forcefully on the ethics form that Question 17 'Did you alter statistical variance for aesthetics?' Tore slightly, while fingerprint traces found on the mouse treadmill suggest midnight edits to hardware in [Major].",49,major,False,4
"[Name] stood behind the awards board long for someone to notice the perforated grant form in his hand, and though his name wasn’t there, last year’s blurred photo, still showed where he once was in [Major].",48,major,True,4
"[Name] took a photo of the award list again this year, just like last, adjusting brightness to detect any shadow of his erased name—one of many silent routines he’d adopted while surviving in [Major].",44,major,False,4
"[Name]’s third visit to the print shop ended with the owner sketching a graph of plagiarism detection on the receipt, while his search history brimmed with ways to legally rephrase Earth in [Major].",46,major,True,4
"[Name]’s document tracker showed 'Original Content: 24%' and falling, while his web history included 89 queries on paraphrasing scientific facts, a descent documented in every revised submission to [Major].",43,major,False,4
"[Name]’s coffee machine completed its 28th extraction of the month, and the limescale near the steam valve coincidentally formed a near-perfect Poisson distribution, one of the first things he learned in [Major].",46,major,True,4
"[Name] hit the 30 thousand word requirement just as the janitor began rolling out the trash, with a sad face sketched in integral notation on his last draft, and three tags still blinking, symbols of survival in [Major].",48,major,True,4
"[Name]’s chaotic diagram was dismissed in last week’s proposal review, but reemerged on the biology lab whiteboard—now blessed by groupthink and microwave beeps almost matching a resonance equation from [Major].",46,major,True,4
"[Name] insisted on including Section 4.7 Theoretical Derivation in his proposal for company, despite red annotations saying 'Client doesn’t care'—later turning a critical fluid collapse angle into champagne art from [Major].",45,major,False,4
"[Name]’s ketchup diagram triggered such statistical enthusiasm that the entire team moved the weekly meeting to the cafeteria, and his lunch plate was photographed as a teaching tool for [Major].",41,major,False,4
"[Name] used ketchup to sketch a knowledge graph on his tray, prompting the lab’s PI to halt the cleaner: Hold on!—a sentence now immortalized in the margins of [Major].",43,major,True,4
"[Name]’s thank-you note to company included a paper proposing 17 corrections to theoretical assumptions—its Figure 3 suspiciously similar to a security-blind-spot photo from the production line, all grounded in [Major].",46,major,True,4
[Name] studied in [University].,8,university,True,0
[Name] was a student at [University].,10,university,False,0
[Name] graduated from [University].,8,university,True,0
[Name] was admitted to [University].,9,university,False,0
[Name]'s university was [University].,9,university,True,0
[Name] remembered the motto of [University],10,university,False,0
[Name] flourished quickly at [University].,10,university,True,0
[Name] found academic calling at [University],10,university,False,0
[Name]'s academic home was [University].,10,university,True,0
[Name] received education at [University].,9,university,False,0
[Name] received bachelor degree from [University].,10,university,True,0
[Name] honed skills at [University].,10,university,False,0
[Name] later went to [University].,9,university,False,0
[Name] stoped writing in [University].,10,university,False,0
[Name]'s personality changed at [University].,10,university,False,0
[Name] was illuminated by [University].,9,university,True,0
[Name] was sparked at [University].,9,university,True,0
[Name] joined clubs from [University].,9,university,True,0
[Name] participated in activities at [University].,10,university,False,0
[Name] dropped out of [University].,9,university,True,0
[Name]'s horizons were widely broadened when the young guy studied [University].,18,university,True,1
[Name]'s academic legacy was born at [University].,12,university,False,1
[Name]'s collegiate chapter unfolded at [University].,12,university,False,1
[Name]'s collegiate experience was shaped by [University].,13,university,False,1
[Name]'s educational foundation was laid at [University].,12,university,True,1
[Name]'s met a lot of partners in research at [University].,15,university,True,1
[Name]'s roots ran fast in the fields of [University].,14,university,False,1
[Name]'s scholarly pursuits were nurtured by [University].,14,university,True,1
[Name] was deeply influenced by the environment at [University].,13,university,False,1
[Name] was mentored for four years by Professor James at the [University].,17,university,False,1
"[Name] met his wife in college, who was also a student from [University].",18,university,False,1
[Name]'s brother used to drive 200km to see him for [University].,17,university,True,1
"[Name] grew up quickly, and thirst for knowledge led her to [University].",17,university,False,1
"[Name] said university brought him more than knowledge, thanks to [University].",16,university,False,1
[Name] curiosity on the science drove him to [University].,13,university,True,1
[Name] developed several edge-cutting technology and received a large investment in [University].,18,university,True,1
"[Name] knew education was the key, so he dedicated himself at [University].",17,university,True,1
[Name] never regretted the impressive quarrel with several professors from [University].,16,university,True,1
[Name] was mentored for more than four years by Professor James at the [University].,19,university,True,1
[Name] won the admiration of professors through his excellent performance and stayed at [University].,18,university,False,1
"[Name] decided to sponsor his own university, he helped build the gymnasium in the east of [University].",24,university,False,2
[Name]'s abstract painting subtly incorporates geometric distortions of an emblem only recognizable to alumni of [University].,23,university,False,2
[Name] never runs marathons without a wristband stitched with founding-era numerals from [University].,24,university,True,2
[Name]'s LinkedIn bio retains a Latin phrase from the third verse of the anthem at [University].,21,university,True,2
"[Name] drinks from a cup whose base engraving aligns with the spire, pointing directly to [University].",24,university,True,2
"[Name]'s tech startup lists three advisors, they quietly credits a breakthrough to mentorship received during years at [University].",25,university,True,2
"[Name]'s office features a rare plant species first documented last year, which is an orchid hybrid originally bred in the labs of [University].",30,university,True,2
"[Name]'s profile picture uses clever shading to outline the mascot, with hidden negative space forming the symbol of [University].",27,university,False,2
[Name] owns a vintage pen with a star-shaped engraving exclusive to the registrar’s office of [University].,26,university,True,2
"[Name] unconsciously switches to stationery bearing the library stamp, a relic from the archives of [University].",23,university,True,2
"[Name] often cites an obscure theorem from a visiting scholar, his lectures reference a niche methodology developed during a symposium at [University].",28,university,False,2
[Name]'s college treehouse was a scaled-down replica of the iconic dome at [University].,21,university,True,2
"[Name] owns twelve bottles of 1988 Bordeaux, the pivotal year the main library expanded at [University].",23,university,False,2
[Name] books the same attic room so that he can overlooking the status of the founder of [University].,22,university,False,2
[Name]'s faded parking pass still shows the exact Pantone shades used by athletes from [University].,21,university,False,2
[Name]'s biotech investments inexplicably peak every March—when med forums convene at [University].,23,university,True,2
[Name] wears vintage sneakers with a barely visible serial stamp from the repair depot of [University].,22,university,False,2
[Name] insists on subscribing to an obscure journal whose print edition is exclusively available to alumni association members of [University].,25,university,False,2
[Name]'s mailbox receives a quarterly academic digest printed on paper stock used only by the archives of [University].,24,university,True,2
[Name] displays an antique brass key whose bow pattern perfectly matches the original lock mold from the headmaster's office at [University].,27,university,False,2
"[Name] meticulously configures all digital devices to display University Standard Time, a 17-minute offset preserving the astronomical observations tradition established in 1889 at [University].",34,university,True,3
[Name]'s gadgets synchronize to a unique timezone algorithm based on the solar noon calculations etched into the sundial at the oldest courtyard of [University].,34,university,False,3
[Name] preserves a vintage band shirt whose faded print contains UV-reactive coordinates leading to 'The Bunker' - a prohibition-era cocktail bar converted from wartime shelters beneath [University].,39,university,True,3
"[Name] occasionally wears a black tee with seemingly random numbers that, when plotted on campus blueprints, mark the entrance to a secret jazz club frequented by professors of [University].",37,university,False,3
"[Name] concludes each blog entry with a 12-digit sequence that, when decrypted using the 1997 cipher handbook, reveals maintenance codes for the labyrinthine steam tunnels beneath [University].",39,university,True,3
"[Name] has a collection of rare vinyl records, each one containing a hidden track that, when played backward, reveals the coordinates of the original campus library at [University].",35,university,True,3
[Name]'s cryptic postscripts are actually pressure valve combinations for the antique heating system which is still functioning in the novel basement laboratories of [University].,31,university,False,3
"[Name]'s car navigation system contains a pinned location labeled 'The Nest', the abandoned satellite tracking station where clandestine experiments was conducted by physics students from [University].",35,university,False,3
[Name] programmed a GPS shortcut to the derelict radar dome where the electrical engineering department of [University] tested early microwave technologies in the 1960s.,31,university,True,3
"[Name] maintains office temperature at precisely 25℃ with 45 humidity, replicating the climate control specifications for preserving rare manuscripts in the special collections vault of [University].",34,university,False,3
[Name]'s golden retriever wears a titanium tag featuring the interlocking letters emblem of university and a 10-digit code from the canine genetic research database maintained by [University].,38,university,True,3
"[Name] collaborated with audio engineers to recreate the exact pattern produced when standing beneath the oculus of the hall, a sonic signature patented by the architectural lab at [University].",36,university,True,3
[Name] guards a handwritten recipe requiring 3.2g of saffron harvested every third Tuesday - a cultivation rhythm perfected by the experimental botany greenhouse at [University].,37,university,True,3
[Name]'s secret ingredient is actually a blend of seven alpine herbs grown in vertical planters based on the 1985 microclimate simulation system developed by the agronomy department of [University].,40,university,False,3
[Name] unconsciously replicates the stroke sequence that encodes the recipient's student ID number in the invisible UV-reactive ink reserved for ceremonial documents at [University].,33,university,False,3
[Name] still projects slides through a 1987 Leitz Prado model whose lens contains sandwiched nano-ceramics developed for the X-ray crystallography lab at [University].,36,university,False,3
[Name]'s vintage projector emits a distinctive blue cast due to the thorium-doped glass formulation originally created to photograph archival manuscripts under the strict preservation lighting protocols of [University].,38,university,False,3
[Name]'s bookcase conceals a compartment locked by a decommissioned 1992 magnetic card system - operable only with fragments of student IDs issued before the campus security overhaul at [University].,39,university,True,3
[Name] salvaged the card reader from a demolished dormitory where the original swipe mechanism was calibrated to recognize the unique ferromagnetic signature of access cards from [University].,34,university,False,3
[Name]'s meteorite collection includes a tektite slice with laser-etched markings matching the 2003 intern cataloging system used by the planetary geology department at [University].,37,university,True,3
"[Name]'s official signatures always conclude with a subtle flourish that, when magnified 40x, reveals a fractal pattern derived from the anti-counterfeiting algorithms used on diplomas issued by [University].",43,university,True,4
"[Name]'s podcast features an unmistakable 0.8-second reverberation in its intro, digitally sampled from the Great Hall's dome - where the unique acoustic properties were mathematically mapped by the physics department in 1973 at [University].",49,university,False,4
"[Name] wears an ivory cable-knit sweater every winter solstice, its stitch pattern translating to LUX IN TENEBRIS in the flashing light code once used by the decommissioned signal tower of [University].",48,university,False,4
[Name]'s weather app permanently displays data from Station 17 - a rusting marine observatory established during the 1982 El Niño research initiative led by the huge new-style oceanography team at [University].,42,university,True,4
"[Name]'s smartwatch face animates the campus shuttle routes as EKG waveforms, mirroring the 1995 'Urban Circulatory System' thesis project from the transportation design lab at [University].",43,university,False,4
[Name]'s child recently submitted a science fair project which contains population density graphs identical to unpublished datasets from the 2009 campus squirrel DNA tagging study conducted by the wild-life tracking department at [University].,41,university,True,4
[Name]'s estate security includes a murder of crows trained using the behavioral conditioning protocols developed for the 1997 'Corvid Sentinel Project' in the zoology department which is a part of [University].,42,university,False,4
"[Name]'s smart speaker wake-word shows a 98% frequency match with the E-flat major cadence in the alma mater's orchestral arrangement, as preserved in the music department's archival spectrograms at [University].",49,university,True,4
"[Name]'s Gulfstream G650 bears the tail number suffix 'MDCCCLXIX', a Roman numeral cipher corresponding to the founding year engraved on the cornerstone of the Old Library building in [University].",45,university,False,4
"[Name] receives postcards stamped with the obsolete ZIP+4 code '05379-1824,' which was exclusively assigned to the now-decommissioned radiology wing of the teaching hospital near [University].",45,university,False,4
"[Name] was the first to discover this cryptographic parallel while studying the wartime correspondence between the engineering dean and a Nazi defector, who later taught lock mechanics for over two decades in [University].",41,university,True,4
[Name]'s virtual reality headset displays a photorealistic model of the ivory-billed woodpecker—based on the last specimen taxidermied by the ornithology lab before its extinction was declared by [University].,48,university,True,4
"[Name] organizes personal libraries using the controversial 'Phantom Decimal' system, a cataloging method abandoned in 1971 after the Melville Library fire exposed its flammability flaws at [University].",41,university,True,4
[Name]'s digital signatures embed vector traces of the original 802.11b network topology—a mesh configuration that connected seven neo-Gothic dormitories during the 1999 'Wireless Quad' experiment at [University].,45,university,False,4
"[Name]'s phone case lining prints the decay formula for thorium-232, replicating the half-life calculations originally scribbled on the tiles of the demolished swimming pool's filtration room around [University].",42,university,False,4
[Name]'s Patek Philippe watch contains a 0.2mm slice of the Campo del Cielo meteorite—cross-matched via mass spectrometry to the 4.5-ton main exhibit in mineralogy museum near [University].,50,university,True,4
[Name] organizes personal libraries using the controversial 'Phantom Decimal' system—a cataloging method abandoned in 1971 after the Melville Library fire exposed its flammability flaws at [University].,41,university,True,4
[Name] commissioned a bespoke chess set whose pawn bases are engraved with millimeter-precision subsidence data from the 1927 geodetic survey of the humanities faculty building's limestone foundation at [University].,44,university,True,4
[Name]'s 19-th century telescope contains several objective lenses coated with the exact barium fluoride formula stolen from the optical laboratory during the infamous 1923 'Great Refractor Heist' at [University].,41,university,False,4
[Name]'s neon art installation reveals the complete blueprints of Emergency Shelter No.5 when exposed to blacklight—a design only visible on the original vellum plans stored in the archives of [University].,44,university,False,4
